GEO_ID,NAME,B01003_001E,B01003_001M
id,Geographic Area Name,Estimate!!Total,Margin of Error!!Total
8600000US78610,ZCTA5 78610,38525,1382
8600000US78613,ZCTA5 78613,81943,1254
8600000US78617,ZCTA5 78617,28930,1917
8600000US78641,ZCTA5 78641,72078,1773
8600000US78652,ZCTA5 78652,5374,964
8600000US78653,ZCTA5 78653,24313,1647
8600000US78660,ZCTA5 78660,91300,2426
8600000US78664,ZCTA5 78664,64686,2111
8600000US78681,ZCTA5 78681,58155,1991
8600000US78701,ZCTA5 78701,10848,802
8600000US78702,ZCTA5 78702,23671,1114
8600000US78703,ZCTA5 78703,20407,776
8600000US78704,ZCTA5 78704,48746,1624
8600000US78705,ZCTA5 78705,34549,1601
8600000US78712,ZCTA5 78712,880,361
8600000US78717,ZCTA5 78717,30657,1073
8600000US78719,ZCTA5 78719,1709,327
8600000US78721,ZCTA5 78721,12110,1145
8600000US78722,ZCTA5 78722,7180,487
8600000US78723,ZCTA5 78723,35725,1434
8600000US78724,ZCTA5 78724,25723,1679
8600000US78725,ZCTA5 78725,8469,1070
8600000US78726,ZCTA5 78726,14040,1352
8600000US78727,ZCTA5 78727,30561,1113
8600000US78728,ZCTA5 78728,21125,1189
8600000US78729,ZCTA5 78729,28644,1206
8600000US78730,ZCTA5 78730,9803,738
8600000US78731,ZCTA5 78731,27298,913
8600000US78732,ZCTA5 78732,17780,1187
8600000US78733,ZCTA5 78733,8927,705
8600000US78734,ZCTA5 78734,19452,642
8600000US78735,ZCTA5 78735,18122,940
8600000US78736,ZCTA5 78736,10163,1110
8600000US78737,ZCTA5 78737,17173,769
8600000US78738,ZCTA5 78738,15986,706
8600000US78739,ZCTA5 78739,21040,936
8600000US78741,ZCTA5 78741,52114,1583
8600000US78742,ZCTA5 78742,887,342
8600000US78744,ZCTA5 78744,50123,1867
8600000US78745,ZCTA5 78745,61907,1672
8600000US78746,ZCTA5 78746,28608,866
8600000US78747,ZCTA5 78747,21021,1144
8600000US78748,ZCTA5 78748,51653,1935
8600000US78749,ZCTA5 78749,38041,1522
8600000US78750,ZCTA5 78750,31734,1409
8600000US78751,ZCTA5 78751,16197,748
8600000US78752,ZCTA5 78752,20881,1183
8600000US78753,ZCTA5 78753,60426,1990
8600000US78754,ZCTA5 78754,26433,1808
8600000US78756,ZCTA5 78756,8694,497
8600000US78757,ZCTA5 78757,25706,1339
8600000US78758,ZCTA5 78758,48993,1753
8600000US78759,ZCTA5 78759,43298,1262
